tipo,artista,genero,nombre,año,id
cancion,Mikel Erentxun,rock,Héroes,2020,5AAAI4coWxZ69lnvxIt33t
cancion,YUNGBLUD,rock,parents,2020,5v4OkFH0TJ6W1hCFxyn0px
cancion,The Strokes,rock,The Adults Are Talking,2020,5ruzrDWcT0vuJIOMW7gMnW
cancion,The Strokes,rock,Selfless,2020,2t0wwvR15fc3K1ey8OiOaN
cancion,The Strokes,rock,Ode To The Mets,2020,1BLOVHYYlH4JUHQGcpt75R
cancion,The Strokes,rock,Why Are Sundays So Depressing,2020,1aOxOpH4AkGAd8OMrKjyNY
cancion,Coti,rock,Color Esperanza 2020,2020,3eSJmGWqoBRx5wbFCtvPtz
cancion,Foster The People,rock,Lamb's Wool,2020,7egu63DOhNpivWOpGtzqGS
cancion,The Black Keys,rock,Howlin' for You,2020,4yffABDkB5A9flvr9vQFck
cancion,The Black Keys,rock,Tighten Up,2020,3C542UknrX76XSRXTyQ1Qg
cancion,The Black Keys,rock,Everlasting Light,2020,50ruR1ueH4wroJBpJOnjQS
cancion,Starship,rock,Jane,2020,5N41XVCfmPwiBTBiQuuKnG
cancion,John Lennon,rock,Beautiful Boy (Darling Boy) - Ultimate Mix,2020,5Sonv4VmN362mdHGCY4wyZ
cancion,Khruangbin,rock,Texas Sun,2020,24ntSW3QVJzR79lHAAOTaY
cancion,Khruangbin,rock,So We Won't Forget,2020,4HpFU6eMThgW6Cael5AwYy
cancion,Khruangbin,rock,Midnight,2020,7pnVHbcqbmP7LA1ey3ydvu
cancion,Khruangbin,rock,Time (You and I),2020,0S3BtG3i5tkQmehJhIhHF3
cancion,4 Non Blondes,rock,What's Up? - Piano Version,2020,3jQnnfM88ZB7bSD6XjeET4
cancion,LiSA,rock,紅蓮華,2020,0qMip0B2D4ePEjBJvAtYre
cancion,LiSA,rock,再会 (produced by Ayase),2020,52IsIvHidofM9JMjw78Jyz
cancion,Hoobastank,rock,The Reason - Acoustic Version,2020,3rH8cmK0vjnyw9bZdwGkgT
cancion,ENHYPEN,rock,Drunk-Dazed,2021,1wcr8DjnN59Awev8nnKpQ4
cancion,ENHYPEN,rock,FEVER,2021,0UzymivvUH5s8z4PeWZJaK
cancion,Metallica,rock,Enter Sandman - Remastered 2021,2021,3DwQ7AH3xGD9h65ezslm6q
cancion,Metallica,rock,Nothing Else Matters - Remastered 2021,2021,6QAsrXPnMSXIbV0yEJHlEX
cancion,Metallica,rock,The Unforgiven - Remastered 2021,2021,5lqyqPU3JkpCbUbLmTVQPW
cancion,Metallica,rock,Sad But True - Remastered 2021,2021,5ltXoDLlI0rFZAmOXbAp5T
cancion,Phil Collins,rock,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",2021,1fTDYdx5zYfWJSX0JlKO8o
cancion,Elton John,rock,Cold Heart - PNAU Remix,2021,6JIC3hbC28JZKZ8AlAqX8h
cancion,Elton John,rock,Hold Me Closer,2021,5TJEBoTCDbJXiKMdCN9pd3
cancion,Maroon 5,rock,Memories,2021,4cktbXiXOapiLBMprHFErI
cancion,Mikel Erentxun,rock,En algún lugar (feat. Santi Balmes & Víctor Cabezuelo),2021,4QnamyKKsm5qDfs49tX0pY
cancion,TOMORROW X TOGETHER,rock,0X1=LOVESONG (I Know I Love You) feat. Seori,2021,1Z8TPHiKeCUyClxV6WTTIf
cancion,Milky Chance,rock,Colorado,2021,35iR1qzexmbcUSgA01S4gI
cancion,Sting,rock,What Could Have Been (from the series Arcane League of Legends),2021,6YB9jhzVEzw8CKeXD7Vx8j
cancion,Airbag,rock,Pensamientos,2021,1H7ktqkQx1PIuPfNtqvaBs
cancion,YOASOBI,rock,夜に駆ける,2021,6MCjmGYlw6mQVWRFVgBRvB
cancion,YOASOBI,rock,怪物,2021,2vjY3jGKElvqXoaGNEuYef
cancion,YOASOBI,rock,群青,2021,1zd35Y44Blc1CwwVbW3Qnk
cancion,YOASOBI,rock,たぶん,2021,398dL22bDbKbAmiOnPaq7o
cancion,YOASOBI,rock,あの夢をなぞって,2021,5ptl2PXkiSth54HCuGO7vN
cancion,Volbeat,rock,Shotgun Blues,2021,2SMNxADB0ffqaIoOwl2x06
cancion,The White Stripes,rock,Seven Nation Army - The Glitch Mob Remix,2021,4IiuExPFijOGZnVxGsKWcc
cancion,Starship,rock,Don't Stop Believin',2021,7eoZfsPCc96nUdu6T4bNYe
cancion,Train,rock,Vacation,2021,1gV4GZAVR9hcxC29J0lDH5
cancion,Zoé,rock,Karmadame,2021,1xO5aVaGg8ksIuH1TL9Ba3
cancion,AJR,rock,Bang!,2021,2I2AqFb0f9UNnolWc2MafC
cancion,AJR,rock,World's Smallest Violin,2021,68EkhVWIeULhHxcbi1QhzK
cancion,AJR,rock,Way Less Sad,2021,6YIivt0G3ZUuNrM62jp9pL
cancion,Los Auténticos Decadentes,rock,Golpes en el Corazón,2021,7eJwMB9yFdETWrRsC4VNGh
cancion,No Te Va Gustar,rock,No Te Imaginás,2021,7x00uv5aDR0MA8eIk7xAuf
cancion,4 Non Blondes,rock,What's Up? - Single Version,2021,6ZGd4ygnoSk8VDvLUWiuU9
cancion,Iggy Pop,rock,I WANNA BE YOUR SLAVE (with Iggy Pop),2021,1ojRut8t5RYNmLpJkEdJ3V
cancion,Imagine Dragons,rock,Bones,2022,54ipXppHLA8U4yqpOFTUhr
cancion,Imagine Dragons,rock,Enemy (with JID) - from the series Arcane League of Legends,2022,3CIyK1V4JEJkg02E4EJnDl
cancion,Ghost,rock,Call Me Little Sunshine,2022,4xAmbn7xiy6wGOs4oaxv70
cancion,Ghost,rock,Spillways,2022,0WHtcCpZnoyFlQg3Mf2cdN
cancion,ATEEZ,rock,HALAZIA,2022,5cTnKClHyczcUhFT8MKBZe
cancion,ATEEZ,rock,Guerrilla,2022,0tYZo2UhV1lrUez5CA0Iyw
cancion,Milky Chance,rock,Synchronize,2022,3GXgrEjBjonrQrPEEi13yU
cancion,Sting,rock,Redlight,2022,48Jf12YHPBCAfAzi255Rvr
cancion,Portugal. The Man,rock,"What, Me Worry?",2022,0ePX6rVjeql7Bt1KurTbAG
cancion,The Black Keys,rock,Wild Child,2022,02bJ6uGeHKfNOhIc9qyA8e
cancion,The Temper Trap,rock,Love Lost,2022,2z9iuAxKv4TTeCrPAxxKg9
cancion,ONE OK ROCK,rock,Renegades,2022,5o26lUmCY1740Unf5hkTik
cancion,Placebo,rock,Beautiful James,2022,4yjKZ7rNGjYRmIjqXVJqGm
cancion,AJR,rock,Record Player,2022,7Gk8IPlFTLUcoIH3mtASI0
cancion,.Feast,rock,Gugatan Rakyat Semesta,2022,3Li1q9Z1AyDQbpadhERTPU
cancion,Khruangbin,rock,Mariella,2022,3dvXRk7TZ929m21p49RR5P
cancion,Khruangbin,rock,B-Side,2022,2DccHqTquzubziHAPZRdct
cancion,RADWIMPS,rock,Suzume,2022,1n1y2kFPISpF9WGD3JaFo5
cancion,4 Non Blondes,rock,What's Up? - Live 1993,2022,1geDfNd2aONhI6HfLsb9Bk
cancion,Iggy Pop,rock,Et Si Tu n'existais Pas,2022,0hiwKOnFAJoCXYsniNg5MH
cancion,LiSA,rock,炎,2022,3YXGSpMR27cthwFJfwd5DY
cancion,LiSA,rock,明け星,2022,4zfiFwHNwOH0iNKTSGp4kx
cancion,LiSA,rock,白銀,2022,7qWVkBPOykbDGQ2D51tYiq
cancion,alt-J,rock,U&ME,2022,7Kl5wPMTXal1ZUMqSSKVa0
cancion,Amistades Peligrosas,rock,Me Haces Tanto Bien - Versión 2023,2022,3kXYIjQ67qz3ZJJuE9v65b
