tipo,artista,genero,nombre,año,id
album,Laura Pausini,pop,Hazte sentir,2018,7atdcLgnOSSOwGjUYIujIo
album,ElGrandeToto,pop,Illicit,2018,34znlAVDG0zNgzBfLLNI7K
album,Florence + The Machine,pop,High As Hope,2018,0pKZJj9GzcKPCS8r4IaksA
album,Luis R Conriquez,pop,Mis Inicios,2018,2RR1Ttrab64Bt1vgdftfSd
album,Kany García,pop,Soy Yo,2018,4HqL9DDTbrqBUFb6Pswcki
album,Henrique & Juliano,pop,Menos É Mais (Ao Vivo),2018,6iGvvnauoKKjkutnB2b7lB
album,Burna Boy,pop,Outside,2018,26du6obYLeY1vf6xIJ1l0D
album,ZAYN,pop,Icarus Falls,2018,1DF9B2hfwX4EdgEFwGcRwh
album,Charlie Puth,pop,Voicenotes,2018,0mZIUXje90JtHxPNzWsJNR
album,Shreya Ghoshal,pop,Melody Queen Shreya Ghoshal,2018,49UKgxbscTVjFrDxBtsupW
album,Christina Aguilera,pop,Liberation,2018,7MfUiQkVEDkOSmU83A2C9q
album,Nyno Vargas,pop,Dicen de mi,2018,3Rg9vI0bHiya3j0ItmhKrR
album,Miguel Campello,pop,Entre Mil Historias,2018,0w6aO0y6GLMa5QQq7x16zC
album,Halsey,pop,hopeless fountain kingdom (Plus),2018,5gnbGc6VR6SeHCbx0DV67s
album,Antonio José,pop,A Un Milímetro De Ti Y Cada Vez Más Cerca (Edición Deluxe),2018,1oSumrff62Iuju1SChmSzx
album,Gene Pokorny,pop,TNT - Tuba'N Tuba,2019,5A4dQ9mEY5jzYH0Nant4uv
album,Pitbull,pop,Libertad 548,2019,6nCJAxRvXmPkPiZo8Vh5ZG
album,Lana Del Rey,pop,Norman Fucking Rockwell!,2019,5XpEKORZ4y6OrCZSKsi46A
album,Taylor Swift,pop,Lover,2019,1NAmidJlEaVgA3MpcPFYGq
album,Sabrina Carpenter,pop,Singular Act II,2019,19KilSbbeHRFFZM7ChwTdP
album,Fuerza Regida,pop,Pisteando Con La Regida,2019,6XCfOtEcXJgbq6ka1C7eAc
album,Fuerza Regida,pop,Del Barrio Hasta Aquí,2019,1kkgaqEDusHWTP51xkiUn1
album,Billie Eilish,pop,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,0S0KGZnfBGSIssfF54WSJh
album,Aitana,pop,Spoiler,2019,0UMkp3B0Dqf3t0HkLmoX0j
album,Ed Sheeran,pop,No.6 Collaborations Project,2019,3oIFxDIo2fwuk4lwCmFZCx
album,Coldplay,pop,Everyday Life,2019,2FeyIYDDAQqcOJKOKhvHdr
album,Ariana Grande,pop,k bye for now (swt live),2019,5UACk85y1hNRSUtY0ss8pb
album,Ariana Grande,pop,"thank u, next",2019,2fYhqwDWXjbpjaIJPEfKFw
album,Alejandro Sanz,pop,#LAGIRA de #ELDISCO,2019,6nSmLcaO3yxbmMx7BWCEOL
album,Alejandro Sanz,pop,#ELDISCO,2019,3RSownGSkhJPRmzLddzsUd
album,Shakira,pop,Shakira In Concert: El Dorado World Tour,2019,5EdGgMlsJ7bv8IUqkaaPZN
album,Lola Indigo,pop,Akelarre,2019,5OcwnNamdhVLQTcpXS2bK9
album,Manuel Carrasco,pop,La Cruz Del Mapa - Directo Estadio Metropolitano Madrid,2019,4NBQS4NP8AGcyYZIw1L8lV
album,Sebastian Yatra,pop,FANTASÍA,2019,5Zyj0zwOksGYLbLAZOaC31
album,Omar Montes,pop,La Vida Mártir,2019,73KhgKo973w101v20RiA8w
album,TWICE,pop,Feel Special,2019,3NQBPabmRm3LzVcmtkTLfo
album,TWICE,pop,&TWICE,2019,2MwyDQhotK4B1WcZ5ogrtB
album,BLACKPINK,pop,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),2019,4i0XmhtxZBPxwpgNeJ1Tvg
album,BLACKPINK,pop,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019,1dH4B2bWb5Ys7aszi9KWHA
album,Bruce Springsteen,pop,Western Stars - Songs From The Film,2019,1V2AYh4idtsw2CYlJGZNro
album,Bruce Springsteen,pop,Western Stars,2019,6BhqPpIgY83rqoZ2L78Lte
album,El Arrebato,pop,Abrazos,2019,1xoWRoZzznelR1Rx4GVGOf
album,Stray Kids,pop,Clé : LEVANTER,2019,0st9OqpsKmmtwUz6cS14Fj
album,Stray Kids,pop,Clé 2 : Yellow Wood,2019,7a3luOh8mK0q8YsRkNUjrU
album,Stray Kids,pop,Clé 1 : MIROH,2019,3s6RbqkTprnGwKpoUSYL00
album,Javi Medina,pop,Solo,2019,44Fpi9yHxrq2MXTobrdiSh
album,Harry Styles,pop,Fine Line,2019,7xV2TzoaVc0ycW7fwBwAml
album,BTS,pop,MAP OF THE SOUL : PERSONA,2019,2KqlAl1Kl5fZvbFgJ0qFB6
album,Charli xcx,pop,Charli,2019,386IqvSuljaZsMjwDGGdLj
album,Juanes,pop,Más Futuro Que Pasado,2019,2X45SzRfAFsxgkBxgryWfF
album,Shawn Mendes,pop,Shawn Mendes (Deluxe),2019,0xzScN8P3hQAz3BT3YYX5w
album,Fleetwood Mac,pop,Fleetwood Mac 1975 to 1987,2019,2hYZRlvqKGm0w43Ek4MLLQ
album,Fleetwood Mac,pop,Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered),2019,3mlM7EnbGFBqcYNZ32ULWh
album,Demarco Flamenco,pop,Le sonrío al agua,2019,0U8OP5OJdbi2usg7fC4vIY
album,Cigarettes After Sex,pop,Cry,2019,63yRRBtLX8eqbOLD6f0y9U
album,Junior H,pop,Corridos Tumbados,2019,0Pr7tJefVMQCh8hy1n8OLr
album,Junior H,pop,Mi Vida en un Cigarro,2019,16JVkAnni8riQ9trQ76lVs
album,India Martinez,pop,Palmeras,2019,44T0wt9lD2FnxPg5d2qXJL
album,Doja Cat,pop,Hot Pink,2019,1MmVkhiwTH0BkNOU3nw5d3
album,Doja Cat,pop,Amala (Deluxe Version),2019,3wOMqxNHgkga91RBC7BaZU
